model,clean_macro_f1,macro_f1_at_30,retention_at_30,mean_macro_f1
word_tfidf,0.9208192049449966,0.9022392433420263,0.9798223565460061,0.9136904282776339
char_tfidf,0.9203945532847155,0.9113436847666958,0.9901663167326242,0.9174891492717524
distilbert,0.9445060278267543,0.9289484584026062,0.9835283534823541,0.9396836996850624
